32, 5.46072e-007, 2.6379e-007, 2.0669e-007, 2.01418e-007, 2.04596e-007, 1.94823e-007
64, 8.81224e-006, 3.30103e-007, 3.31026e-007, 3.34805e-007, 3.38276e-007, 3.78806e-007
128, 2.57694e-005, 8.53794e-007, 5.88461e-007, 5.99525e-007, 6.00605e-007, 6.04453e-007
256, 1.5894e-006, 1.48709e-006, 1.18209e-006, 1.16524e-006, 1.17969e-006, 1.15196e-006
512, 9.61686e-005, 2.85983e-006, 2.38726e-006, 2.40937e-006, 2.30139e-006, 2.40439e-006
1024, 0.000171713, 5.66063e-006, 5.41381e-006, 6.80455e-006, 5.50613e-006, 5.12689e-006
2048, 1.31395e-005, 1.16188e-005, 1.13968e-005, 1.08556e-005, 1.10044e-005, 1.1455e-005
4096, 3.02388e-005, 3.29812e-005, 2.41309e-005, 2.44453e-005, 2.35097e-005, 2.41922e-005
8192, 7.06055e-005, 7.99407e-005, 5.70907e-005, 6.39341e-005, 5.32654e-005, 5.59472e-005
16384, 0.000138762, 0.000182826, 0.000134489, 0.000137559, 0.000116638, 0.000123677
32768, 0.00032875, 0.000450477, 0.00030686, 0.000308279, 0.000262138, 0.000291053
65536, 0.000851112, 0.00127721, 0.000661851, 0.000684034, 0.000613909, 0.000665374
131072, 0.00164919, 0.00303351, 0.00138651, 0.00163944, 0.00128377, 0.00139284
